userid,username,booktag
10001,静文威威,"['尼尔·盖曼', '奇幻', '小说', '奇幻小说', '科幻', '美国文学', '美国', '外国文学','毕飞宇', '小说', '盲人', '茅盾文学奖', '当代文学', '中国文学', '中国', '推拿','阿加莎·克里斯蒂', '推理', '英国', '小说', '悬疑推理', '无人生还', '侦探推理', '外国文学','历史', '明朝那些事儿', '当年明月', '明史', '明朝', '小说', '中国历史', '中国','历史', '唐代', '文化', '唐代的外来文明', '文化交流', '海外中国研究', '中国', '汉学','阿加莎·克里斯蒂', '推理', '英国', '小说', '侦探', '侦探推理', '侦探小说', '尼罗河上的惨案']"
10003,贝塔,"['生存智慧', '心理学', '思想', '智慧', '随机', '文化', '中信出版社', '经济','两性', '女性', '爱情', 'relationship', '心理学', '英文原版', '心理', 'Love','佛学', '宗教', '佛教', '吕澂', '印度', '历史', '印度佛学', '佛教史','美容', '护肤', '美丽圣经', '女性', '健康', '美容工业，实用，浅学易懂的学术性', '生活', 'beauty','匆匆那年', '青春', '小说', '九夜茴', '80后', '青春小说', '爱情', '80年代的记忆','nan','美国', '林达', '政治', '历史', '文化', '社会', '民主', '随笔','林达', '美国', '政治', '历史', '民主', '文化', '随笔', '社会','梁实秋', '美食', '一个吃货的自我修养', '美食不可辜负也', '随笔', '散文', '吃货', '我想读这本书','青春', '九夜茴', '匆匆那年', '成长', '小说', '爱情', '80后', '青春文学','心理学', '智能', '意识', '科幻', '计算机', '人工神经网络', '科普', '心理','奇幻', '武侠', '小说', '本少爷', '古风', '中国', '奇幻小说', '武幻','林达', '美国', '政治', '文化', '历史', '民主', '社会', '随笔','武侠', '汪涌豪', '历史', '文化史', '游侠', '复旦大学', '歷史', '文学研究']"
10004,マッドハッター,"['さちも', 'BLコミック', '耽美漫画', 'BL', '日本', 'abo', '漫画', '#abo漫画#','赤井ヒガサ', '漫画', '日本', '一般コミック', '【一般コミック】', '『又腐又基』', '♦コミック♦','漫画', '少女漫画', 'ミユキ蜜蜂', '日本', '日本漫画', '少女漫', '白泉社', '❤少女漫乙女心❤','志水ゆき', '漫画', '耽美', 'BL', 'BLコミック', '日本', 'BL漫画', '小基漫','待緒イサミ', 'コミック', '★', 'BLコミック', '新書館', '小皇叔', '『又腐又基』', 'E-二次元-小皇叔','苏轼', '中国文学', '宋词', '诗词', '诗歌', '文学', '古典文学', '词','日本漫画', '言情', '萩原ダイスケ❤', '萩原ダイスケ', '绘本&漫画&画集', '結婚', '日漫', '年の差']"
10005,Kilig,"['郭敬明', '小时代', '小说', '青春', '限量版', '青春文学', '柯艾', '小四','以你的名字呼唤我', '小说', '爱情', '外国文学', '同性', '同志', '法国', '那些想看的同誌美麗的故事書','心理学', '决策', '思维', '别做正常的傻瓜', '经济学', '心理', '思考', '经济']"
10006,Masque,"['哲学', '法国', '法国哲学', '哲学史', '尚杰', '纯粹哲学系列/凤凰文库', '【法国哲学】', '哲','传记', '福柯', '哲学', '社会学', '福柯研究', '福柯及其研究', '法国', '人物传记','社会学', '社会学与人类学', '通识', '藏书', '工具书', '新书记', '2016', '教材','社会学', '社会理论', 'Blackwell', '社会理论指南', '李康', '社会学理论', '思想', '社会','王德威', '文学', '文学研究', '台湾', '文学批评', '文学理论', '学术', '比较文学','历史', '传记', '弗洛里安·伊利斯', '德国', '社会史', '外国文学', '伊利斯', '文化']"
10007,乔尼.,"['高晓松', '历史趣谈', '历史', '世界', '我想读这本书', '好书，值得一读', '随笔', '想读，一定很精彩！','孤独', '文学', '外国文学', '社会心理学', '城市', '艺术', '社会', '社会学','2017.07','维特根斯坦', '哲学', '文学', '传记', '李宏昀', '2017.09','梁漱溟', '中国文化', '文化', '哲学', '社会', '中国', '国学', '历史','心理学', '抑郁症', '抑郁', '活着就很伟大', '成长', '治愈', '我想读这本书', '励志','史铁生', '随笔', '文学', '我想读这本书', '好书，值得一读', '期待已久的书', '想读，一定很精彩！', '夜行','史铁生', '小说', '中国文学', '文学', '人生哲学', '哲学', '心灵', '当代文学']"
10008,清北。💨,"['痘痘', '护肤', '美容', '美妆', '认真看', 'dou', '社会/生活', '悅容']"
10009,半天憋不出个字,"['保罗·霍尔特', '推理', '法国', '推理小说', '小说', '欧美推理', '不可能犯罪', '午夜文库','语感', '语言·文化·语言学', '王尚文', '语文教育', '语言学', '教学', '☆', '语文','理查德·耶茨', '小说', '美国', '外国文学', '美国文学', '电影《革命之路》原著小说', '电影原著', '革命之路','奇幻', '乔治·R·R·马丁', '吸血鬼', '乔治·马丁', '美国', '小说', '西方奇幻', '热夜之梦']"
10010,vesper,"['三岛由纪夫', '日本文学', '日本', '小说', '爱情', '三島由紀夫', '文学', '外国文学','弥尔顿', '诗歌', '外国文学', '英国文学', '失乐园', '英国', '文学', '经典','三浦紫苑', '日本', '日本文学', '小说', '治愈系', '直木奖', '生活', '2016','劳伦斯', '外国文学', '小说', '查特莱夫人的情人', '英国', '情色', '名著', '性','夏目漱石', '日本文学', '日本', '小说', '批判现实', '坊ちゃん', '少爺', '青春']"
10011,V小谏,"['水彩', '绘画', '画画', '零基础', '入门', '日本', '自我学习管理', '工具书','心理学', '育儿', '儿童教育', '积极心理学', '教育', '马丁·塞利格曼', '心理', '亲子关系','心理学', '思维', '心理学、思维、决策', '丹尼尔·卡尼曼', '经济学', '决策', '心理', '经典','心理学', '精神分析', '卡伦·霍尼', '心理', '精神分析派', '美国', '社会学', '文化研究','嘻皮与喇嘛的孩子', '传记', '心靈', '嬉皮', '尼泊尔', '嬉皮士', '傳記', 'DajaMeston']"
10012,糊里糊涂,"['周国平', '散文', '哲学', '思想', '智慧', '哲思', '中国文学', '人文','生活', '后浪', '我想读这本书', '外国', '健康','周国平', '哲学', '人生', '感悟', '人生哲学', '散文', '哲思', '思考','历史', '文艺复兴', '女性', '社会性别史', '欧洲', '文艺复兴史', '藝術', '资料书']"
10013,积木屋子,"['福楼拜', '外国文学', '包法利夫人', '法国', '小说', '法国文学', '名著', '经典','纪伯伦', '哲学', '诗歌', '先知', '外国文学', '哲诗', '文学', '思想','世纪三部曲', '历史', '肯·福莱特', 'Ken_Follett', '小说', '英文原版', '历史小说', '外国文学','两性关系', '心理学', '女性', '两性', '戒律', '婚恋', '个人管理', '恋爱心理']"
10014,cutiehunterr,"['冯唐', '小说', '女性', '爱情', '中国当代文学', '中国', '文学', '现当代文学','黑人', '美国', '历史', '小说', '奴隶', '美国文学', '外国文学', '废奴','小说', '须一瓜', '犯罪', '赎罪', '悬疑', '太阳黑子', '中国', '中国文学','历史', '二战后的欧洲', '二战', '欧洲史', '欧洲', '社会史', '甲骨文', '英国','韩寒', '小说', '三重门', '青春', '80后', '中国文学', '中国', '文学']"
10016,wayway,"['林达', '法国', '历史', '旅行', '随笔', '文化', '游记', '文化、历史','人工智能', 'AI', '计算机', '计算机科学', '机器学习', '数据、算法与机器学习', '罗素', '人工智能入门书籍','需求設計', '需求', '软件设计', '系統設計', '計算機技術', '产品设计', '軟件設計', '自我管理','切面', '互联网', '下一本要入','艺术史', '里格尔，风格问题', '艺术', '艺术史书单', '2016', '范景中', '美学', '新书记','德国', '历史', '冷战', '冷战史', '德国史', '霍斯特·特尔切克', '冷战国际史', '2016','纳博科夫', '弗拉基米尔·纳博科夫', '小说', '美国', '外国文学', '美国文学', '文学', '上海译文出版社','nan']"
10017,白蚀,"['外国文学', '英文原著', 'Foulds', '英国', 'uni', 'poetry', 'lit', 'fiction']"
10018,.,"['JonathanFranzen', '小说', '美国', '美国文学', '英文原版', '社会', '外国文学', '文学','张岱', '古典文学', '古典', '散文随笔', '中国文学', '文学', '中国古代文学', '中国古典文学','RolandBarthes', '戀人絮語', '罗兰巴特', 'Barthes', '罗兰·巴特', 'philosophy', '哲學', '哲学','顾颉刚', '历史', '古史辨', '疑古派', '史学', '中国历史', '国学', '中國史','nan','法学', '政治哲学', '法律', '法理学', '政治学', 'Shklar', '美国', '法理','尼采', '哲学', '海德格尔', '西方哲学', '德国', '传记', '思想', 'Heidegger','JonathanFranzen', '美国', '小说', '英文原版', '文学', '美国文学', '外国文学', '外国','nan']"
10020,啊瓜是个好少年,"['菲茨杰拉德', '小说', '了不起的盖茨比', '美国', '外国文学', '美国文学', '梦想', '原版']"
10021,你的湖,"['aalto','时间管理', '个人管理', '自我管理', 'GTD', '吃掉那只青蛙', '管理', '自我完善', '励志','建筑', '建筑理论', '建筑史', '建筑设计思想', '建筑设计思想演变', '建筑设计', '国外建筑理论译丛', '理论','建筑', '结构', '结构设计', 'NLC', 'Construction','建筑', '哲学', '空间理论', 'philosophy', '巴什拉', 'Bachelard', 'space', '文学理论','建筑', '案例研究', '建筑理论', '笔记人老师的推荐', 'architecture+case', '建筑设计', 'architecture', '历史','建筑', '材料与建构', '建构', '建筑构造', 'ETH', '建筑设计', '材料', '建筑理论','建筑', 'ETH', 'architecture', '构造', '材料', '建筑理论', '设计', '建筑学','心理学', '英文原版', '自我完善', '成长', '少有人走的路', '心灵', 'psychology', '人生']"
10023,雅思拜拜.,"['人脉', '人际交往', '社交', '职场', '沟通/人际关系', '管理', '沟通', '日本','老子', '哲学', '陈鼓应', '国学', '道家', '中国哲学', '经典', '诸子','西班牙语', '现代西班牙语(1)', '教材', '语言', 'espanol', '西班牙', '学习', '董燕生','中医', '郑钦安', 'med','育儿', '教育', '为人父母', '亲子教育', '生活', '养儿', '随笔', '读库','摄影', '美国纽约摄影学院摄影教材', '教材', '教程', '艺术', '摄影教程', '下册', 'Photography']"
10024,NAMA,"['人山人海里你不必记得我', '浩森', '摄影', '旅行', '青春', 'MOON', '生活', '青春的旅行。','旅行', '在路上远方', '游记', '我想读这本书', '随笔', '2016', '纸磨坊', '垃圾','敦煌', '艺术', '佛學', '西域', '壁画', '宗教', '佛教', '敦煌学','一个人流浪，不必去远方', '旅行', '做一个安静的人，读书，旅行，等待爱情', '看过的风景，爱过的人，放在心里就好', '随笔', '王臣', '青春', '小清新','趁，此身未老', '旅行', '珍惜回不去的时光', '随笔', '阿Sam的午夜场', '阿Sam', '旅行文学', '青春']"
10025,adjani,"['京极夏彦', '日本文学', '日本', '巷说百物语', '小说', '推理', '京極夏彥', '2016','历史', '东京梦华录', '民俗文化', '古典文学', '宋史', '汴京', '中国', '文化','阿摩司·奥兹', '以色列文学', '以色列', '小说', '外国文学', '外国小说', '短篇小说', '文学']"
10026,大步向前走啊,"['教父', '黑帮', '小说', '外国文学', '马里奥·普佐', '经典', '美国', '美国文学','辛波斯卡', '诗歌', '波兰文学', '诗', '波兰', '外国文学', '诺贝尔文学奖', '诗集','小说', '女教父', '美国', '黑社会', '黑手党', '玛蒂娜科尔', '犯罪', '爱情','传记', '王尔德', '人物传记', '外国文学', '奥斯卡·王尔德', '人物传记【英国】', '英国', '理查德•艾尔曼','时尚', '传记', '设计', '服装', '艺术', 'Fashion', '英国', '文化','鸡尾酒', '酒', '生活', '饮食', '文化', '美食', '品味生活系列', '品位']"
10027,别阻我嗨森,"['护肤', '护肤的普及书刊', '女性', '健康', '美容', '美白', '科普', '保養']"
10028,骑着扫把的女巫,"['房龙', '历史', '哲学', '宽容', '人文', '文化', '思想', '外国文学','孔庆东', '杂文', '随笔', '四十不坏', '文化', '中国', '文学', '散文','柴静', '用我一辈子去忘记', '散文', '随笔', '成长', '女性', '记忆', '电台','葡萄酒', '饮食', '酒庄', '生活', '酒文化', '美酒','金融', 'IPO', '法律', '红筹', '红筹博弈', '民营企业', '10号文', '商业','历史', '中国', '中国研究', '2018', '社会科学', '经济', '得到', '施展','九州', '今何在', '奇幻', '羽传说', '小说', '中国', '玄幻', '幻想']"
